"","CustomerID","recency","frequency","monetary","recency.log","frequency.log","monetary.log","recency.z","frequency.z","monetary.z"
"1",12346,326,1,0,5.78689738136671,0,-2.30258509299405,1.47697368141563,-1.04191935307745,-6.43337010937753
"2",12747,3,10,3837.45,1.09861228866811,2.30258509299405,8.25258942112653,-1.95057744624288,1.5373187998472,1.30614301724391
"3",12748,1,196,27214.9,0,5.27811465923052,10.2115235708683,-2.75376021231404,4.87035496243833,2.74251875369725
"4",12749,4,5,3868.2,1.38629436111989,1.6094379124341,8.26057041302786,-1.7402564029738,0.760890749855915,1.31199502769634
"5",12820,4,4,942.34,1.38629436111989,1.38629436111989,6.8484722568183,-1.7402564029738,0.510936746905112,0.276583230246543
"6",12821,215,1,92.72,5.37063802812766,0,4.53066213381303,1.17265127196683,-1.04191935307745,-1.42293598168284
"7",12822,71,2,918.98,4.26267987704132,0.693147180559945,6.8233731697095,0.36263585373455,-0.265491303086169,0.258179487713923
"8",12823,75,5,1759.5,4.31748811353631,1.6094379124341,7.47284178947456,0.402705522939598,0.760890749855915,0.734398133012107
"9",12824,60,1,397.12,4.0943445622221,0,5.98449028337065,0.239567847688604,-1.04191935307745,-0.356925937765497
"10",12826,3,7,1468.12,1.09861228866811,1.94591014905531,7.29180606170623,-1.95057744624288,1.13778975468916,0.601654861967549
"11",12827,6,3,430.15,1.79175946922805,1.09861228866811,6.06436643509165,-1.44382554157276,0.188689990666781,-0.298357268538694
"12",12828,3,6,1018.71,1.09861228866811,1.79175946922805,6.92639055852631,-1.95057744624288,0.965118040658062,0.33371631867312
"13",12829,337,2,253.05,5.82008293035236,0.693147180559945,5.53398219841592,1.50123525331211,-0.265491303086169,-0.687258063728144
"14",12830,38,6,6748.4,3.63758615972639,1.79175946922805,8.81707553694934,-0.0943629493057696,0.965118040658062,1.72004879372933
"15",12831,263,1,215.05,5.57215403217776,0,5.37133545928461,1.31997729699864,-1.04191935307745,-0.806517728343345
